"#","Waar dit verskyn","Engels (ter verwysing)","JOU Afrikaans (tans regstreeks)","Ons alternatief","BESLUIT (A / B / C)","As C — jou nuwe bewoording","Nota"
"1","Aanmeldbladsy","Demo mode — Supabase not configured. Skipping to the app.","Demomodus — Supabase is nie gekonfigureer nie. Gaan voort na die app.","Demo-modus — Supabase nie opgestel nie. Spring na die app.","","",""
"2","Aanmeldbladsy","Learn more","Kom meer te wete","Meer inligting","","",""
"3","Aanmeldbladsy","Log in or sign up","Teken in of registreer","Meld aan of registreer","","",""
"4","AI-terugvoer","View AI Assessment","Bekyk AI-assessering","Bekyk KI-assessering","","",""
"5","Algemeen (regdeur)","Log in","Teken in","Meld aan","","",""
"6","Betaalbladsy","Sign in first, then unlock access.","Teken eers in, ontsluit dan toegang.","Meld eers aan, ontsluit dan toegang.","","",""
"7","Bladsy-nie-gevind","Back to home","Terug na tuisblad","Terug na tuis","","",""
"8","Dashboard","Simulate the real test","Simuleer die werklike toets","Boots die regte toets na","","",""
"9","Dashboard","Keep going — small daily sessions beat cramming.","Hou aan – kort daaglikse sessies is beter as om alles op die laaste nippertjie in te prop.","Hou aan — klein daaglikse sessies klop blokleer.","","",""
"10","Kieslys / navigasie","Admin","Admin ","Admin","","",""
"11","Kieslys / navigasie","Home","Tuisblad","Tuis","","",""
"12","Kieslys / navigasie","Mock Test","Oefen toets","Proefeksamen","","",""
"13","Leer-afdeling","Three topics make up the K53 learner's test.","Die K53-leerlingtoets bestaan ​​uit drie onderwerpe.","Drie onderwerpe maak die K53-leerlingtoets uit.","","",""
"14","Leermodules","Vehicle Controls","Voertuigkontroles","Voertuigbeheer","","",""
"15","Leermodules","What each control does, how to use it, and the common mistake.","Wat elke voertuigkontroles doen, hoe om dit te gebruik, en die algemene fout.","Wat elke beheer doen, hoe om dit te gebruik, en die algemene fout.","","",""
"16","Leermodules","Vehicle Controls","Voertuigkontroles","Voertuigbeheer","","",""
"17","Leermodules","Related controls","Verwante kontroles","Verwante beheerelemente","","",""
"18","Onderwerpe","Vehicle Controls","Voertuigkontroles","Voertuigbeheer","","",""
"19","Privaatheidsbladsy","The free readiness test is anonymous — no account required.","Die gratis gereedheidstoets is anoniem — geen rekening word benodig nie.","Die gratis gereedheidstoets is anoniem — geen rekening nodig nie.","","","Net grammatika — geen betekenisverskil."
"20","Privaatheidsbladsy","We never collect or store biometric data. Passkey sign-in is handled by your own device.","Ons versamel of stoor nooit biometriese data nie. Sleutelkode-aanmelding word deur jou eie toestel gehanteer.","Ons versamel of stoor nooit biometriese data nie. Sleutelkode-aanmelding word deur jou eie toestel hanteer.","","",""
"21","Proefeksamen","{count} questions · pass {pass} to clear this section","{count} vrae · slaag {pass} om hierdie gedeelte skoon te maak","{count} vrae · slaag {pass} om hierdie afdeling te klaar","","",""
"22","Proefeksamen","{count} questions across three sections: Rules of the Road, Road Signs, and Vehicle Controls.","{count} vrae oor drie afdelings: Reëls van die Pad, Padtekens, en Voertuigkontroles.","{count} vrae oor drie afdelings: Reëls van die Pad, Padtekens, en Voertuigbeheer.","","",""
"23","Proefeksamen","Each section is scored separately. Failing one section fails the whole exam.","Elke afdeling word afsonderlik gegradeer. As jy in een afdeling druip, druip jy die hele eksamen.","Elke afdeling word afsonderlik gepunt. As jy een afdeling druip, druip jy die hele eksamen.","","",""
"24","Proefeksamen","A full K53-style paper. Three sections, each scored on its own — you must pass all three.","'n Volledige vraestel volgens die K53-formaat. Dit bestaan ​​uit drie afdelings wat elk afsonderlik gemerk word – jy moet in al drie slaag","n Volledige K53-styl vraestel. Drie afdelings, elk afsonderlik gepunt — jy moet al drie slaag.","","",""
"25","Proefeksamen","Timed (60 minutes)","Tyd (60 minute)","Getyd (60 minute)","","",""
"26","Proefeksamen","View result","Besigtig uitslag","Bekyk uitslag","","",""
"27","Proefeksamen — uitslag","You need to pass all three sections. Here is where to focus.","Jy moet al drie afdelings slaag. Hier is waarop jy moet fokus.","Jy moet al drie afdelings slaag. Hier is waarop om te fokus.","","",""
"28","Proefeksamen — uitslag","You cleared every section — this is a passing paper.","Jy het elke afdeling suksesvol voltooi – hierdie is 'n geslaagde vraestel.","Jy het elke afdeling geklaar — dit is n slaagvraestel.","","",""
"29","Proefeksamen — uitslag","Retake exam","Hertoets eksamen","Herneem eksamen","","",""
"30","Proefeksamen — uitslag","Show all","Wys alles","Wys almal","","",""
"31","Proefeksamen — uitslag","View AI Assessment","Bekyk AI-assessering","Bekyk KI-assessering","","",""
"32","Tuisblad (bemarking)","Live demo · try it","Regstreekse demonstrasie · probeer dit","Regstreekse demo · probeer dit","","",""
"33","Tuisblad (bemarking)","The app interface is bilingual — switch between English and Afrikaans at any time from the top bar. The questions and lessons themselves are in English for now; the Afrikaans content is being written.","Ja. Die toepassing se koppelvlak is tweetalig – jy kan te eniger tyd vanaf die boonste balk tussen Engels en Afrikaans wissel.","Die app se koppelvlak is tweetalig — wissel enige tyd bo-aan tussen Engels en Afrikaans. Die vrae en lesse self is voorlopig in Engels; die Afrikaanse inhoud word tans geskryf.","","","LET WEL: ons weergawe voeg 'n nodige mededeling by — dat die vrae self nog in Engels is."
"34","Tuisblad (bemarking)","Plain-language reasons, checked against the official rules — not just “wrong”.","Duidelike redes in eenvoudige taal — nie net ""verkeerd"" nie.","Verduidelikings in gewone taal, getoets teen die amptelike reëls — nie net “verkeerd” nie.","","","LET WEL: ons weergawe voeg 'n NUWE bewering by ('getoets teen die amptelike reels'). Moenie kies bloot omdat dit meer sê nie."
"35","Tuisblad (bemarking)","Exam-style practice","Eksamenstyl oefeninge ","Toets-styl oefening","","",""
"36","Tuisblad (bemarking)","See your weak spots and readiness score over time.","Sien jou swakpunte en gereedheidstelling oor tyd.","Sien jou swak plekke en gereedheidstelling oor tyd.","","",""
"37","Tuisblad (bemarking)","Log in","Teken in","Meld aan","","",""
"38","Tuisblad (bemarking)","Unlock full access","Ontsluit volle toegang","Sluit volle toegang oop","","",""
"39","Tuisblad (bemarking)","Take the free readiness test, see exactly where you stand, and get a clear explanation of every mistake until you're test-ready.","Neem die gratis gereedheidstoets, sien presies waar jy staan, en laat jou AI-afrigter elke fout verduidelik totdat jy gereed is vir die toets.","Doen die gratis gereedheidstoets, sien presies waar jy staan, en kry 'n duidelike verduideliking van elke fout totdat jy toetsgereed is.","","",""
"40","Uitslag","See a sample AI Assessment","Sien 'n voorbeeld AI-assessering","Sien 'n voorbeeld KI-assessering","","",""
"41","Vordering","Blended from your mock exams and practice.","Saamgestel uit jou proefeksamens en oefenwerk.","Gemeng uit jou proefeksamens en oefening.","","",""
